S.NO.,PS CATEGORY,problem statement title,Domain Bucket
52,Software,Student Innovation,Smart Education
53,Software,Student Innovation,Smart Education
54,Software,Student Innovation,Smart Education
55,Software,Student Innovation,Disaster Management
56,Software,Student Innovation,Disaster Management
57,Software,Student Innovation,Disaster Management
58,Software,Student Innovation,Disaster Management
59,Software,Student Innovation,Disaster Management
136,Software,Student Innovation,Miscellaneous
137,Software,Student Innovation,Miscellaneous
138,Software,Student Innovation,Miscellaneous
139,Software,Student Innovation,Miscellaneous
140,Software,Student Innovation,Miscellaneous
141,Software,Student Innovation,Miscellaneous
142,Software,Student Innovation,Blockchain & Cybersecurity
143,Software,Student Innovation,Blockchain & Cybersecurity
144,Software,Student Innovation,Blockchain & Cybersecurity
145,Software,Student Innovation,Blockchain & Cybersecurity
146,Software,Student Innovation,Renewable/Sustainable Energy
147,Software,Student Innovation,Renewable/Sustainable Energy
148,Software,Student Innovation,Renewable/Sustainable Energy
149,Software,Student Innovation,Renewable/Sustainable Energy
150,Software,Student Innovation,Renewable/Sustainable Energy
151,Software,Student Innovation,Transportation & Logistics
152,Software,Student Innovation,Transportation & Logistics
153,Software,Student Innovation,Transportation & Logistics
154,Software,Student Innovation,Transportation & Logistics
155,Software,Student Innovation,Transportation & Logistics
156,Software,Student Innovation,Clean & Green Technology
157,Software,Student Innovation,Clean & Green Technology
158,Software,Student Innovation,Clean & Green Technology
159,Software,Student Innovation,Clean & Green Technology
160,Software,Student Innovation,Clean & Green Technology
161,Software,Student Innovation,Robotics and Drones
162,Software,Student Innovation,Robotics and Drones
163,Software,Student Innovation,Robotics and Drones
164,Software,Student Innovation,Robotics and Drones
165,Software,Student Innovation,Robotics and Drones
166,Software,Student Innovation,Robotics and Drones
167,Software,Student Innovation,Transportation & Logistics
168,Software,Student Innovation,Transportation & Logistics
169,Software,Student Innovation,Transportation & Logistics
170,Software,Student Innovation,Transportation & Logistics
171,Software,Student Innovation,Transportation & Logistics
172,Software,Student Innovation,Smart Vehicles
173,Software,Student Innovation,Smart Vehicles
174,Software,Student Innovation,Smart Vehicles
175,Software,Student Innovation,Smart Vehicles
176,Software,Student Innovation,Smart Vehicles
177,Software,Student Innovation,Smart Vehicles
178,Software,Student Innovation,Smart Vehicles
179,Software,Student Innovation,Smart Vehicles
180,Software,Student Innovation,"Agriculture, FoodTech & Rural Development"
181,Software,Student Innovation,"Agriculture, FoodTech & Rural Development"
182,Software,Student Innovation,"Agriculture, FoodTech & Rural Development"
183,Software,Student Innovation,"Agriculture, FoodTech & Rural Development"
184,Software,Student Innovation,"Agriculture, FoodTech & Rural Development"
185,Software,Student Innovation,"Agriculture, FoodTech & Rural Development"
186,Software,Student Innovation,"Agriculture, FoodTech & Rural Development"
187,Software,Student Innovation,"Agriculture, FoodTech & Rural Development"
188,Software,Student Innovation,"Agriculture, FoodTech & Rural Development"
189,Software,Student Innovation,MedTech/BioTech/HealthTech
190,Software,Student Innovation,MedTech/BioTech/HealthTech
191,Software,Student Innovation,MedTech/BioTech/HealthTech
192,Software,Student Innovation,MedTech/BioTech/HealthTech
193,Software,Student Innovation,MedTech/BioTech/HealthTech
194,Software,Student Innovation,MedTech/BioTech/HealthTech
195,Software,Student Innovation,Heritage & Culture
196,Software,Student Innovation,Heritage & Culture
197,Software,Student Innovation,Heritage & Culture
198,Software,Student Innovation,Heritage & Culture
199,Software,Student Innovation,Heritage & Culture
200,Software,Student Innovation,Heritage & Culture
201,Software,Student Innovation,Fitness & Sports
202,Software,Student Innovation,Fitness & Sports
203,Software,Student Innovation,Fitness & Sports
204,Software,Student Innovation,Fitness & Sports
205,Software,Student Innovation,Fitness & Sports
206,Software,Student Innovation,Smart Automation
207,Software,Student Innovation,Smart Automation
208,Software,Student Innovation,Smart Automation
209,Software,Student Innovation,Smart Automation
210,Software,Student Innovation,Smart Automation
211,Software,Student Innovation,Smart Automation
212,Software,Student Innovation,Toys & Games
213,Software,Student Innovation,Toys & Games
214,Software,Student Innovation,Toys & Games
215,Software,Student Innovation,Toys & Games
216,Software,Student Innovation,Toys & Games
217,Software,Student Innovation,Toys & Games
218,Software,Student Innovation,Toys & Games
225,Hardware,Students to use Autodesk Fusion 360 to research and redesign a conventional automotive component commonly found in vehicles and utilize generative design to reimagine its design,Smart Vehicles
226,Hardware,Students to use Autodesk Fusion 360 to research and redesign a conventional automotive component commonly found in vehicles and utilize generative design to reimagine its design,Smart Vehicles
227,Hardware,Students to use Autodesk Fusion 360 to research and redesign a conventional automotive component commonly found in vehicles and utilize generative design to reimagine its design,Smart Vehicles
228,Hardware,Students to use Autodesk Fusion 360 to research and redesign a conventional automotive component commonly found in vehicles and utilize generative design to reimagine its design,Smart Vehicles
229,Hardware,Students to use Autodesk Fusion 360 to research and redesign a conventional automotive component commonly found in vehicles and utilize generative design to reimagine its design,Smart Vehicles
230,Hardware,Students to use Autodesk Fusion 360 to research and to generate NC code with machine details and tool library for any industrial component,Smart Automation
231,Hardware,Students to use Autodesk Fusion 360 to research and to generate NC code with machine details and tool library for any industrial component,Smart Automation
232,Hardware,Students to use Autodesk Fusion 360 to research and to generate NC code with machine details and tool library for any industrial component,Smart Automation
233,Hardware,Students to use Autodesk Fusion 360 to research and to generate NC code with machine details and tool library for any industrial component,Smart Automation
234,Hardware,Students to use Autodesk Fusion 360 to research and to generate NC code with machine details and tool library for any industrial component,Smart Automation
240,Software,Similar Document Template Matching Algorithm,Miscellaneous
241,Software,Similar Document Template Matching Algorithm,Miscellaneous
242,Software,Similar Document Template Matching Algorithm,Miscellaneous
243,Software,Similar Document Template Matching Algorithm,Miscellaneous
244,Software,Similar Document Template Matching Algorithm,Miscellaneous
250,Software,Student dropout analysis forschool education,SmartEducation
251,Software,Student dropout analysis forschool education,SmartEducation
252,Software,Student dropout analysis forschool education,SmartEducation
253,Software,Student dropout analysis forschool education,SmartEducation
254,Software,Student dropout analysis forschool education,SmartEducation
255,Software,Self-identifying the mentalhealth status and get guidancefor support.,Fitness &Sports
256,Software,Self-identifying the mentalhealth status and get guidancefor support.,Fitness &Sports
257,Software,Self-identifying the mentalhealth status and get guidancefor support.,Fitness &Sports
258,Software,Self-identifying the mentalhealth status and get guidancefor support.,Fitness &Sports
259,Software,Self-identifying the mentalhealth status and get guidancefor support.,Fitness &Sports
260,Software,Fake Social Media Profiledetection and reporting,Blockchain &Cybersecurity
261,Software,Fake Social Media Profiledetection and reporting,Blockchain &Cybersecurity
262,Software,Fake Social Media Profiledetection and reporting,Blockchain &Cybersecurity
263,Software,Fake Social Media Profiledetection and reporting,Blockchain &Cybersecurity
264,Software,Fake Social Media Profiledetection and reporting,Blockchain &Cybersecurity
265,Software,Fake Social Media Profiledetection and reporting,Blockchain &Cybersecurity
266,Software,Online Blockchain basedcertificate generation andvalidation system forgovernment organization.,Blockchain &Cybersecurity
267,Software,Online Blockchain basedcertificate generation andvalidation system forgovernment organization.,Blockchain &Cybersecurity
268,Software,Online Blockchain basedcertificate generation andvalidation system forgovernment organization.,Blockchain &Cybersecurity
269,Software,Online Blockchain basedcertificate generation andvalidation system forgovernment organization.,Blockchain &Cybersecurity
270,Software,Online Blockchain basedcertificate generation andvalidation system forgovernment organization.,Blockchain &Cybersecurity
271,Software,Online Blockchain basedcertificate generation andvalidation system forgovernment organization.,Blockchain &Cybersecurity
272,Software,State.Online integrated platformfor projects taken up by thestudents of variousuniversities/colleges,SmartEducation
273,Software,State.Online integrated platformfor projects taken up by thestudents of variousuniversities/colleges,SmartEducation
274,Software,State.Online integrated platformfor projects taken up by thestudents of variousuniversities/colleges,SmartEducation
275,Software,State.Online integrated platformfor projects taken up by thestudents of variousuniversities/colleges,SmartEducation
276,Software,State.Online integrated platformfor projects taken up by thestudents of variousuniversities/colleges,SmartEducation
277,Software,State.Online integrated platformfor projects taken up by thestudents of variousuniversities/colleges,SmartEducation
278,Software,State.Online integrated platformfor projects taken up by thestudents of variousuniversities/colleges,SmartEducation
279,Software,Real time monitoring ofinfrastructure development,SmartAutomation
280,Software,Real time monitoring ofinfrastructure development,SmartAutomation
281,Software,Real time monitoring ofinfrastructure development,SmartAutomation
282,Software,Real time monitoring ofinfrastructure development,SmartAutomation
283,Software,Real time monitoring ofinfrastructure development,SmartAutomation
284,Software,Community Based Reportingand Monitoring Tool forWomen's Safety inColleges/Universities.,Miscellaneous
285,Software,Community Based Reportingand Monitoring Tool forWomen's Safety inColleges/Universities.,Miscellaneous
286,Software,Community Based Reportingand Monitoring Tool forWomen's Safety inColleges/Universities.,Miscellaneous
287,Software,Community Based Reportingand Monitoring Tool forWomen's Safety inColleges/Universities.,Miscellaneous
288,Software,Community Based Reportingand Monitoring Tool forWomen's Safety inColleges/Universities.,Miscellaneous
289,Software,Community Based Reportingand Monitoring Tool forWomen's Safety inColleges/Universities.,Miscellaneous
290,Software,Community Based Reportingand Monitoring Tool forWomen's Safety inColleges/Universities.,Miscellaneous
291,Software,"development of systems foreffective Environmental,Social and Governance (ESG)Intervention in HigherEducation",Renewable /SustainableEnergy
292,Software,"development of systems foreffective Environmental,Social and Governance (ESG)Intervention in HigherEducation",Renewable /SustainableEnergy
293,Software,"development of systems foreffective Environmental,Social and Governance (ESG)Intervention in HigherEducation",Renewable /SustainableEnergy
294,Software,"development of systems foreffective Environmental,Social and Governance (ESG)Intervention in HigherEducation",Renewable /SustainableEnergy
295,Software,"development of systems foreffective Environmental,Social and Governance (ESG)Intervention in HigherEducation",Renewable /SustainableEnergy
296,Software,"Education ecosystem for specially abled student need provision and improvement to take care of compliance, governance and conduct",Smart Education
297,Software,"Education ecosystem for specially abled student need provision and improvement to take care of compliance, governance and conduct",Smart Education
298,Software,"Education ecosystem for specially abled student need provision and improvement to take care of compliance, governance and conduct",Smart Education
299,Software,"Education ecosystem for specially abled student need provision and improvement to take care of compliance, governance and conduct",Smart Education
300,Software,"Education ecosystem for specially abled student need provision and improvement to take care of compliance, governance and conduct",Smart Education
301,Software,"Education ecosystem for specially abled student need provision and improvement to take care of compliance, governance and conduct",Smart Education
302,Software,Blended Learning to overcome inadequate infrastructure,Smart Education
303,Software,Blended Learning to overcome inadequate infrastructure,Smart Education
304,Software,Blended Learning to overcome inadequate infrastructure,Smart Education
305,Software,Blended Learning to overcome inadequate infrastructure,Smart Education
306,Software,Blended Learning to overcome inadequate infrastructure,Smart Education
307,Software,Blended Learning to overcome inadequate infrastructure,Smart Education
308,Software,Blended Learning to overcome inadequate infrastructure,Smart Education
309,Software,"Capacity building, performance assessment and motivation driven tool for faculty upgradation",Smart Education
310,Software,"Capacity building, performance assessment and motivation driven tool for faculty upgradation",Smart Education
311,Software,"Capacity building, performance assessment and motivation driven tool for faculty upgradation",Smart Education
312,Software,"Capacity building, performance assessment and motivation driven tool for faculty upgradation",Smart Education
313,Software,"Capacity building, performance assessment and motivation driven tool for faculty upgradation",Smart Education
314,Software,initiative.Domestic Waste Management,Clean & GreenTechnology
315,Software,initiative.Domestic Waste Management,Clean & GreenTechnology
316,Software,initiative.Domestic Waste Management,Clean & GreenTechnology
317,Software,initiative.Domestic Waste Management,Clean & GreenTechnology
318,Software,initiative.Domestic Waste Management,Clean & GreenTechnology
319,Software,initiative.Domestic Waste Management,Clean & GreenTechnology
327,Software,Air and water quality indexand environment monitoring,"Agriculture,FoodTech &RuralDevelopment"
328,Software,Air and water quality indexand environment monitoring,"Agriculture,FoodTech &RuralDevelopment"
329,Software,Air and water quality indexand environment monitoring,"Agriculture,FoodTech &RuralDevelopment"
330,Software,Air and water quality indexand environment monitoring,"Agriculture,FoodTech &RuralDevelopment"
331,Software,Air and water quality indexand environment monitoring,"Agriculture,FoodTech &RuralDevelopment"
332,Software,AI Assisted Tele-medicineKIOSK for Rural India,"Agriculture,FoodTech &RuralDevelopment"
333,Software,AI Assisted Tele-medicineKIOSK for Rural India,"Agriculture,FoodTech &RuralDevelopment"
334,Software,AI Assisted Tele-medicineKIOSK for Rural India,"Agriculture,FoodTech &RuralDevelopment"
335,Software,AI Assisted Tele-medicineKIOSK for Rural India,"Agriculture,FoodTech &RuralDevelopment"
336,Software,AI Assisted Tele-medicineKIOSK for Rural India,"Agriculture,FoodTech &RuralDevelopment"
337,Software,AI Assisted Tele-medicineKIOSK for Rural India,"Agriculture,FoodTech &RuralDevelopment"
338,Software,Ideate and implement asystem to enhance the qualityof education in rural areas.,SmartEducation
339,Software,Ideate and implement asystem to enhance the qualityof education in rural areas.,SmartEducation
340,Software,Ideate and implement asystem to enhance the qualityof education in rural areas.,SmartEducation
341,Software,Ideate and implement asystem to enhance the qualityof education in rural areas.,SmartEducation
342,Software,Ideate and implement asystem to enhance the qualityof education in rural areas.,SmartEducation
349,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates.,Miscellaneous
350,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates.,Miscellaneous
351,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates.,Miscellaneous
352,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates.,Miscellaneous
353,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates.,Miscellaneous
354,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates. Theplatform has a sizeablenumber of user base but itlacks integrated analyticstools to understand how theusers are consuming the,Miscellaneous
355,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates. Theplatform has a sizeablenumber of user base but itlacks integrated analyticstools to understand how theusers are consuming the,Miscellaneous
356,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates. Theplatform has a sizeablenumber of user base but itlacks integrated analyticstools to understand how theusers are consuming the,Miscellaneous
357,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates. Theplatform has a sizeablenumber of user base but itlacks integrated analyticstools to understand how theusers are consuming the,Miscellaneous
358,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates. Theplatform has a sizeablenumber of user base but itlacks integrated analyticstools to understand how theusers are consuming the,Miscellaneous
359,Software,PGRKAM web application (www.pgrkam.com) and thePGRKAM Androidapplication of the PunjabGovernment providesemployment data to theprospective candidates. Theplatform has a sizeablenumber of user base but itlacks integrated analyticstools to understand how theusers are consuming the,Miscellaneous
360,Software,"The Employment Departmentat present has a digitalplatform www.pgrkam.comand its mobile application toprovide almost all servicesoffered to job seekers andemployers through digitalmeans. The portal hasmultiple modules like privatesector jobs, government jobs,self-employment avenues,foreign jobs, foreign study,counseling, guidance,induction into armed forces,job melas, etc. Currently,when a user visits theportal/app, there is no hand-holding mechanism to helpthe user get to the part of thedigital platform which willresolve his queries. The useris required to navigate acrossmultiple modules on theportal/ app to search foranswers.",SmartAutomation
361,Software,"The Employment Departmentat present has a digitalplatform www.pgrkam.comand its mobile application toprovide almost all servicesoffered to job seekers andemployers through digitalmeans. The portal hasmultiple modules like privatesector jobs, government jobs,self-employment avenues,foreign jobs, foreign study,counseling, guidance,induction into armed forces,job melas, etc. Currently,when a user visits theportal/app, there is no hand-holding mechanism to helpthe user get to the part of thedigital platform which willresolve his queries. The useris required to navigate acrossmultiple modules on theportal/ app to search foranswers.",SmartAutomation
362,Software,"The Employment Departmentat present has a digitalplatform www.pgrkam.comand its mobile application toprovide almost all servicesoffered to job seekers andemployers through digitalmeans. The portal hasmultiple modules like privatesector jobs, government jobs,self-employment avenues,foreign jobs, foreign study,counseling, guidance,induction into armed forces,job melas, etc. Currently,when a user visits theportal/app, there is no hand-holding mechanism to helpthe user get to the part of thedigital platform which willresolve his queries. The useris required to navigate acrossmultiple modules on theportal/ app to search foranswers.",SmartAutomation
363,Software,"The Employment Departmentat present has a digitalplatform www.pgrkam.comand its mobile application toprovide almost all servicesoffered to job seekers andemployers through digitalmeans. The portal hasmultiple modules like privatesector jobs, government jobs,self-employment avenues,foreign jobs, foreign study,counseling, guidance,induction into armed forces,job melas, etc. Currently,when a user visits theportal/app, there is no hand-holding mechanism to helpthe user get to the part of thedigital platform which willresolve his queries. The useris required to navigate acrossmultiple modules on theportal/ app to search foranswers.",SmartAutomation
364,Software,"The Employment Departmentat present has a digitalplatform www.pgrkam.comand its mobile application toprovide almost all servicesoffered to job seekers andemployers through digitalmeans. The portal hasmultiple modules like privatesector jobs, government jobs,self-employment avenues,foreign jobs, foreign study,counseling, guidance,induction into armed forces,job melas, etc. Currently,when a user visits theportal/app, there is no hand-holding mechanism to helpthe user get to the part of thedigital platform which willresolve his queries. The useris required to navigate acrossmultiple modules on theportal/ app to search foranswers.",SmartAutomation
365,Software,"The Employment Departmentat present has a digitalplatform www.pgrkam.comand its mobile application toprovide almost all servicesoffered to job seekers andemployers through digitalmeans. The portal hasmultiple modules like privatesector jobs, government jobs,self-employment avenues,foreign jobs, foreign study,counseling, guidance,induction into armed forces,job melas, etc. Currently,when a user visits theportal/app, there is no hand-holding mechanism to helpthe user get to the part of thedigital platform which willresolve his queries. The useris required to navigate acrossmultiple modules on theportal/ app to search foranswers.",SmartAutomation
366,Software,Real-Time Vehicle Trackingsystem.,Smart Vehicles
367,Software,Real-Time Vehicle Trackingsystem.,Smart Vehicles
368,Software,Real-Time Vehicle Trackingsystem.,Smart Vehicles
369,Software,Real-Time Vehicle Trackingsystem.,Smart Vehicles
370,Software,Real-Time Vehicle Trackingsystem.,Smart Vehicles
371,Software,Real-Time Vehicle Trackingsystem.,Smart Vehicles
372,Software,Optimizing DoctorAvailability and AppointmentAllocation in Hospitalsthrough Digital Technologyand Al Integration.,MedTech /BioTech /HealthTech
373,Software,Optimizing DoctorAvailability and AppointmentAllocation in Hospitalsthrough Digital Technologyand Al Integration.,MedTech /BioTech /HealthTech
374,Software,Optimizing DoctorAvailability and AppointmentAllocation in Hospitalsthrough Digital Technologyand Al Integration.,MedTech /BioTech /HealthTech
375,Software,Optimizing DoctorAvailability and AppointmentAllocation in Hospitalsthrough Digital Technologyand Al Integration.,MedTech /BioTech /HealthTech
376,Software,Optimizing DoctorAvailability and AppointmentAllocation in Hospitalsthrough Digital Technologyand Al Integration.,MedTech /BioTech /HealthTech
377,Software,Optimizing DoctorAvailability and AppointmentAllocation in Hospitalsthrough Digital Technologyand Al Integration.,MedTech /BioTech /HealthTech
424,Software,Get Fit Faster with a High-Tech Tracker: Analyze Human Activity and GPS Data for Improved Results,Smart Automation
425,Software,Get Fit Faster with a High-Tech Tracker: Analyze Human Activity and GPS Data for Improved Results,Smart Automation
426,Software,Get Fit Faster with a High-Tech Tracker: Analyze Human Activity and GPS Data for Improved Results,Smart Automation
427,Software,Get Fit Faster with a High-Tech Tracker: Analyze Human Activity and GPS Data for Improved Results,Smart Automation
428,Software,Get Fit Faster with a High-Tech Tracker: Analyze Human Activity and GPS Data for Improved Results,Smart Automation
429,Software,Application for Assessment ofQuality of Textbook/Reference Books/ E- Book,SmartEducation
430,Software,Application for Assessment ofQuality of Textbook/Reference Books/ E- Book,SmartEducation
431,Software,Application for Assessment ofQuality of Textbook/Reference Books/ E- Book,SmartEducation
432,Software,Application for Assessment ofQuality of Textbook/Reference Books/ E- Book,SmartEducation
433,Software,Application for Assessment ofQuality of Textbook/Reference Books/ E- Book,SmartEducation
434,Software,PG dissertation ManagementSystem Description.,SmartEducation
435,Software,PG dissertation ManagementSystem Description.,SmartEducation
436,Software,PG dissertation ManagementSystem Description.,SmartEducation
437,Software,PG dissertation ManagementSystem Description.,SmartEducation
438,Software,PG dissertation ManagementSystem Description.,SmartEducation
439,Software,Development of a prototypeinstrument (sensor based) forassessment and quantificationof rasas (taste) in crude herbs.,MedTech /BioTech /HealthTech
440,Software,Development of a prototypeinstrument (sensor based) forassessment and quantificationof rasas (taste) in crude herbs.,MedTech /BioTech /HealthTech
441,Software,Development of a prototypeinstrument (sensor based) forassessment and quantificationof rasas (taste) in crude herbs.,MedTech /BioTech /HealthTech
442,Software,Development of a prototypeinstrument (sensor based) forassessment and quantificationof rasas (taste) in crude herbs.,MedTech /BioTech /HealthTech
443,Software,Development of a prototypeinstrument (sensor based) forassessment and quantificationof rasas (taste) in crude herbs.,MedTech /BioTech /HealthTech
444,Software,Identification of DifferentMedicinal Plants/Rawmaterials through ImageProcessing Using MachineLearning Algorithms,MedTech /BioTech /HealthTech
445,Software,Identification of DifferentMedicinal Plants/Rawmaterials through ImageProcessing Using MachineLearning Algorithms,MedTech /BioTech /HealthTech
446,Software,Identification of DifferentMedicinal Plants/Rawmaterials through ImageProcessing Using MachineLearning Algorithms,MedTech /BioTech /HealthTech
447,Software,Identification of DifferentMedicinal Plants/Rawmaterials through ImageProcessing Using MachineLearning Algorithms,MedTech /BioTech /HealthTech
448,Software,Identification of DifferentMedicinal Plants/Rawmaterials through ImageProcessing Using MachineLearning Algorithms,MedTech /BioTech /HealthTech
449,Software,Al-based tool for preliminarydiagnosis of Dermatologicalmanifestations,MedTech /BioTech /HealthTech
450,Software,Al-based tool for preliminarydiagnosis of Dermatologicalmanifestations,MedTech /BioTech /HealthTech
451,Software,Al-based tool for preliminarydiagnosis of Dermatologicalmanifestations,MedTech /BioTech /HealthTech
452,Software,Al-based tool for preliminarydiagnosis of Dermatologicalmanifestations,MedTech /BioTech /HealthTech
453,Software,Al-based tool for preliminarydiagnosis of Dermatologicalmanifestations,MedTech /BioTech /HealthTech
454,Software,Startup-AYUSH Portal,MedTech /BioTech /HealthTech
455,Software,Startup-AYUSH Portal,MedTech /BioTech /HealthTech
456,Software,Startup-AYUSH Portal,MedTech /BioTech /HealthTech
457,Software,Startup-AYUSH Portal,MedTech /BioTech /HealthTech
458,Software,Startup-AYUSH Portal,MedTech /BioTech /HealthTech
459,Software,Chatbot to Known IndividualPrakriti (Phenotype),MedTech /BioTech /HealthTech
460,Software,Chatbot to Known IndividualPrakriti (Phenotype),MedTech /BioTech /HealthTech
461,Software,Chatbot to Known IndividualPrakriti (Phenotype),MedTech /BioTech /HealthTech
462,Software,Chatbot to Known IndividualPrakriti (Phenotype),MedTech /BioTech /HealthTech
463,Software,Chatbot to Known IndividualPrakriti (Phenotype),MedTech /BioTech /HealthTech
464,Software,A software that suggestsdrugs and formulations for adisease/pharmacologicalproperty based on theAyurvedic classicalbooks/Repositories.,MedTech /BioTech /HealthTech
465,Software,A software that suggestsdrugs and formulations for adisease/pharmacologicalproperty based on theAyurvedic classicalbooks/Repositories.,MedTech /BioTech /HealthTech
466,Software,A software that suggestsdrugs and formulations for adisease/pharmacologicalproperty based on theAyurvedic classicalbooks/Repositories.,MedTech /BioTech /HealthTech
467,Software,A software that suggestsdrugs and formulations for adisease/pharmacologicalproperty based on theAyurvedic classicalbooks/Repositories.,MedTech /BioTech /HealthTech
468,Software,A software that suggestsdrugs and formulations for adisease/pharmacologicalproperty based on theAyurvedic classicalbooks/Repositories.,MedTech /BioTech /HealthTech
469,Software,A software that suggestsdrugs and formulations for adisease/pharmacologicalproperty based on theAyurvedic classicalbooks/Repositories.,MedTech /BioTech /HealthTech
470,Software,A software that suggestsdrugs and formulations for adisease/pharmacologicalproperty based on theAyurvedic classicalbooks/Repositories.,MedTech /BioTech /HealthTech
471,Software,Development of Virtual Reality (VR) technology for Dhatuposhana Nyaya,MedTech/BioTech/HealthTech
472,Software,Development of Virtual Reality (VR) technology for Dhatuposhana Nyaya,MedTech/BioTech/HealthTech
473,Software,Development of Virtual Reality (VR) technology for Dhatuposhana Nyaya,MedTech/BioTech/HealthTech
474,Software,Development of Virtual Reality (VR) technology for Dhatuposhana Nyaya,MedTech/BioTech/HealthTech
